run_id,algorithm,stochasticity,discount_factor,learning_rate,epsilon,episode_length_mc,grid_name,reward_function,cumulative_reward,step,episode,conv_metricV,conv_metricQ
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.5,0.9865873854693582,500,grid_configs/A1_grid.npy,Default,-980,10337,26,125.92351,157.51427
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.15075567228888181,0.9860940917766235,500,grid_configs/A1_grid.npy,Default,-1140,10837,27,191.45981,275.07846
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.3333333333333333,0.9856010447307353,500,grid_configs/A1_grid.npy,Default,-1004,11337,28,122.43935,160.73355
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2182178902359924,0.98510824420837,500,grid_configs/A1_grid.npy,Default,-1016,11837,29,93.31461,100.3608
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.24253562503633297,0.9846156900862658,500,grid_configs/A1_grid.npy,Default,-380,11996,30,48.01149,59.950424
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.22360679774997896,0.9841233822412228,500,grid_configs/A1_grid.npy,Default,-1285,12428,31,124.44724,139.45436
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2886751345948129,0.9836313205501022,500,grid_configs/A1_grid.npy,Default,-435,12598,32,67.45351,154.63687
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.30151134457776363,0.9831395048898272,500,grid_configs/A1_grid.npy,Default,-1055,13040,33,83.68143,130.70917
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.18569533817705186,0.9826479351373822,500,grid_configs/A1_grid.npy,Default,-376,13203,34,62.235573,62.235573
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.16222142113076254,0.9821566111698136,500,grid_configs/A1_grid.npy,Default,-1028,13703,35,104.4207,140.9506
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.31622776601683794,0.9816655328642288,500,grid_configs/A1_grid.npy,Default,-1148,14203,36,102.47101,112.55828
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.18569533817705186,0.9811747000977967,500,grid_configs/A1_grid.npy,Default,-246,14324,37,44.088905,54.507095
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.19611613513818404,0.9806841127477479,500,grid_configs/A1_grid.npy,Default,-1012,14824,38,73.33107,73.33107
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2294157338705618,0.9801937706913741,500,grid_configs/A1_grid.npy,Default,-22,14841,39,4.7744627,26.798473
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.14285714285714285,0.9797036738060285,500,grid_configs/A1_grid.npy,Default,-1236,15341,40,77.14209,119.92256
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.18257418583505536,0.9792138219691255,500,grid_configs/A1_grid.npy,Default,-793,15645,41,72.837456,91.90543
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.15617376188860607,0.978724215058141,500,grid_configs/A1_grid.npy,Default,-1152,16145,42,50.213104,76.60759
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.15075567228888181,0.978234852950612,500,grid_configs/A1_grid.npy,Default,-420,16348,43,30.416702,44.72467
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.14907119849998599,0.9777457355241367,500,grid_configs/A1_grid.npy,Default,-1188,16848,44,60.38176,61.36151
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.14907119849998599,0.9772568626563747,500,grid_configs/A1_grid.npy,Default,-517,17084,45,50.403915,65.64516
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1889822365046136,0.9767682342250465,500,grid_configs/A1_grid.npy,Default,-1048,17584,46,66.566315,76.17389
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13130643285972254,0.976279850107934,500,grid_configs/A1_grid.npy,Default,-1048,18084,47,57.41053,70.510124
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.16012815380508713,0.9757917101828801,500,grid_configs/A1_grid.npy,Default,-166,18181,48,83.913826,101.72684
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.14907119849998599,0.9753038143277888,500,grid_configs/A1_grid.npy,Default,-1048,18628,49,45.897003,75.95068
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11785113019775793,0.974816162420625,500,grid_configs/A1_grid.npy,Default,-1464,19128,50,91.00835,118.29573
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1543033499620919,0.9743287543394147,500,grid_configs/A1_grid.npy,Default,-1076,19628,51,40.855392,55.613037
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.140028008402801,0.973841589962245,500,grid_configs/A1_grid.npy,Default,-1136,20128,52,63.410423,79.62881
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11547005383792516,0.973354669167264,500,grid_configs/A1_grid.npy,Default,-1036,20628,53,28.962112,41.19542
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1386750490563073,0.9728679918326804,500,grid_configs/A1_grid.npy,Default,-956,21128,54,63.804146,63.804146
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13736056394868904,0.972381557836764,500,grid_configs/A1_grid.npy,Default,-257,21252,55,26.161873,49.33573
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.12126781251816648,0.9718953670578457,500,grid_configs/A1_grid.npy,Default,-1036,21752,56,44.2591,51.473305
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2581988897471611,0.9714094193743169,500,grid_configs/A1_grid.npy,Default,-1124,22252,57,42.440567,50.259613
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1889822365046136,0.9709237146646298,500,grid_configs/A1_grid.npy,Default,-249,22352,58,64.17479,64.17479
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13018891098082389,0.9704382528072976,500,grid_configs/A1_grid.npy,Default,-1176,22852,59,45.768524,51.608307
